ID,IDExpediente,Estado,Regional,Departamento,Municipio,Localidad,Vereda,Class,TipoCombustible,TipoFuenteEmision,Latitud,Longitud,PrecisionUbicacion
23,127300,Seguimiento y Control,Sabana Centro,Cundinamarca,COGUA,,CASA BLANCA,Sin sanción,Carbón,Caldera horno,5.124111114499696,-73.90930461495846,Alta
24,128338,Seguimiento y Control,Sabana Centro,Cundinamarca,COTA,,VUELTA GRANDE,Sin sanción,Gas,Caldera horno,4.741710643609742,-74.13242897551558,Alta
25,130078,Seguimiento y Control,Ubate,Cundinamarca,CUCUNUBA,,PUEBLO VIEJO,Sin sanción,Carbón,Caldera horno,5.235020055600297,-73.80065993375005,Alta
26,131966,Seguimiento y Control,Sabana Centro,Cundinamarca,COGUA,,EL OLIVO,Sin sanción,Carbón,Horno,5.067304100739209,-73.95243509058483,Alta
27,134880,Seguimiento y Control,Ubate,Cundinamarca,TAUSA,,RASGATÁ,Sin sanción,Carbón,Caldera horno,5.188253149081619,-73.88006353101989,Alta
28,135212,Seguimiento y Control,Ubate,Cundinamarca,TAUSA,,PAJARITO,Sin sanción,Carbón,Caldera horno,5.155501952928119,-73.92039921548076,Alta
29,135366,Seguimiento y Control,Almeidas y Municipio de Guatavita,Cundinamarca,SUESCA,,CHITIVA,Sin sanción,Carbón,Horno,5.102860839254118,-73.80553322046644,Alta
30,135366,Seguimiento y Control,Almeidas y Municipio de Guatavita,Cundinamarca,SUESCA,,CHITIVA ABAJO,Sin sanción,Carbón,Horno,5.10078911304372,-73.80339670128349,Alta
31,135366,Seguimiento y Control,Almeidas y Municipio de Guatavita,Cundinamarca,SUESCA,,CHITIVA ABAJO,Sin sanción,Carbón,Horno,5.099270879183655,-73.80567902769707,Alta
33,135850,Seguimiento y Control,Ubate,Cundinamarca,UBATE,,LA PATERA,Sin sanción,Otros,Horno,5.306875406456808,-73.80306390803548,Alta
34,135850,Seguimiento y Control,Ubate,Cundinamarca,UBATE,,LA PATERA,Sin sanción,Otros,Horno,5.307454278663283,-73.80336136073772,Alta
35,136222,Seguimiento y Control,Sabana Occidente,Cundinamarca,FACATATIVA,,MANCILLA,Sin sanción,Carbón,Caldera,4.846983831770509,-74.34650179589275,Alta
36,136448,Seguimiento y Control,Soacha,Cundinamarca,SOACHA,,AREA URBANA,Sin sanción,Gas,Horno,4.582535414829188,-74.21108294189338,Media
37,136490,Seguimiento y Control,Alto Magdalena,Cundinamarca,RICAURTE,,BUENOS AIRES,Sin sanción,Carbón,Horno,3.887967424881892,-74.371055451274,Alta
38,136616,Seguimiento y Control,Ubate,Cundinamarca,LENGUAZAQUE,,ESTANCIA,Sin sanción,Otros,Horno,5.328939839386754,-73.68600615127848,Alta
39,136886,Seguimiento y Control,Soacha,Cundinamarca,SIBATE,,CHACUA,Sin sanción,No aplica,Molino,4.522279467669363,-74.2422238119784,Media
40,137006,Seguimiento y Control,Sabana Occidente,Cundinamarca,MOSQUERA,,SERREZELUITA,Sin sanción,Otros,Molino,4.699729230701192,-74.22047602944497,Alta
41,137218,Seguimiento y Control,Soacha,Cundinamarca,SIBATE,,CHACUA,Sin sanción,Carbón,Caldera,4.522268399029849,-74.24121655125096,Media
42,137254,Seguimiento y Control,Soacha,Cundinamarca,SOACHA,,CANOAS,Sin sanción,Otros,Horno,4.582978439087634,-74.24243217681114,Alta
43,138622,Seguimiento y Control,Sabana Centro,Cundinamarca,NEMOCON,,PATIO BONITO,Sin sanción,Sin definir,Sin definir,5.118907635516168,-73.8954349960792,Alta
44,139320,Seguimiento y Control,Ubate,Cundinamarca,TAUSA,,RASGATÁ,Sin sanción,Sin definir,Horno,5.190613195803246,-73.87958474565609,Alta
45,139882,Seguimiento y Control,Soacha,Cundinamarca,SOACHA,,FUSUNGA,Sin sanción,Carbón,Horno,4.527100443698165,-74.19333658082301,Media
46,141414,Seguimiento y Control,Sabana Occidente,Cundinamarca,FACATATIVA,,AREA URBANA,Sin sanción,Otros,Molino,4.80476559651936,-74.21355643778917,Alta
47,141586,Seguimiento y Control,Sabana Centro,Cundinamarca,NEMOCON,,PATIO BONITO,Sin sanción,Carbón,Caldera horno,5.127454811990184,-73.90118667346393,Alta
48,141774,Seguimiento y Control,Sabana Centro,Cundinamarca,CAJICA,,CANELÓN,Sin sanción,Carbón,Caldera,4.919869822773218,-74.06360501248838,Alta
49,141798,Seguimiento y Control,Sabana Occidente,Cundinamarca,MADRID,,PUENTE PIEDRA,Sin sanción,ACPM,Planta de asfalto,4.80476559651936,-74.21355643778917,Alta
50,141856,Seguimiento y Control,Sabana Centro,Cundinamarca,SOPO,,PUEBLO VIEJO,Sin sanción,Gas,Caldera horno,4.914466140453649,-73.93997679404697,Alta
51,142500,Seguimiento y Control,Ubate,Cundinamarca,TAUSA,,PAJARITO,Sin sanción,Carbón,Caldera horno,5.146516959350765,-73.89997285814142,Alta
52,142884,Seguimiento y Control,Soacha,Cundinamarca,SOACHA,,FUSUNGA,Sin sanción,Carbón,Horno,4.520138002374677,-74.19645293953957,Alta
53,144002,Seguimiento y Control,Ubate,Cundinamarca,SIMIJACA,,HATO CHICO,Sin sanción,Otros,Horno,5.532379891649153,-73.83440456802114,Alta
54,144412,Seguimiento y Control,Ubate,Cundinamarca,GUACHETA,,RABANAL,Sin sanción,Carbón,Horno,5.33671022354105,-73.70490190272402,Alta
56,144412,Seguimiento y Control,Ubate,Cundinamarca,GUACHETA,,PEÑAS,Sin sanción,Carbón,Horno,5.33671022354105,-73.70490190272402,Alta
57,145760,Seguimiento y Control,Soacha,Cundinamarca,SOACHA,,PANAMÁ,Sin sanción,Gas,Horno,4.562457250245541,-74.21062594373767,Alta
58,146234,Seguimiento y Control,Sabana Centro,Cundinamarca,COTA,,VUELTA GRANDE,Sin sanción,Otros,Trituradora,4.756314499845698,-74.14058778462476,Alta
59,147752,Seguimiento y Control,Sabana Occidente,Cundinamarca,MADRID,,PUENTE PIEDRA,Sin sanción,ACPM,Planta de asfalto,4.818670893069072,-74.22727968673412,Alta
60,147870,Seguimiento y Control,Sabana Centro,Cundinamarca,TOCANCIPA,,TIBITÓ,Sin sanción,Carbón,Caldera horno,4.9578196312945,-73.70782726554745,Alta
61,148522,Seguimiento y Control,Soacha,Cundinamarca,SIBATE,,CHACUA,Sin sanción,Gas,Horno,4.5215944974593105,-74.24201711140687,Media
62,150306,Seguimiento y Control,Sabana Centro,Cundinamarca,NEMOCON,,PATIO BONITO,Sin sanción,Sin definir,Sin definir,5.125421030494849,-73.90439797153304,Alta
63,151254,Seguimiento y Control,Soacha,Cundinamarca,SIBATE,,CHUSACA,Sin sanción,Gas,Horno,4.535888872799148,-74.25191919047849,Alta
64,151706,Seguimiento y Control,Sabana Occidente,Cundinamarca,FUNZA,,EL CACIQUE,Sin sanción,Carbón,Caldera,4.730851780541538,-74.1913322996901,Alta
65,152236,Seguimiento y Control,Sabana Centro,Cundinamarca,NEMOCON,,PATIO BONITO,Sin sanción,Carbón,Horno,5.132011888252765,-73.89917418037368,Alta
66,153454,Seguimiento y Control,Sabana Centro,Cundinamarca,TABIO,,RIO FRÍO ORIENTAL,Sin sanción,Carbón,Horno,4.957922845608089,-74.06308125331644,Alta
67,153534,Seguimiento y Control,Sabana Centro,Cundinamarca,COGUA,,RINCÓN SANTO,Sin sanción,Carbón,Horno,5.065794389946128,-73.95486125585315,Alta
68,153780,Seguimiento y Control,Sabana Centro,Cundinamarca,TOCANCIPA,,TIBITÓ,Sin sanción,Gas,Horno,4.968520890391967,-73.96514953656599,Alta
69,154266,Seguimiento y Control,Sabana Centro,Cundinamarca,COGUA,,MORTIÑO,Sin sanción,Carbón,Caldera,5.044340815540402,-73.93683866225531,Alta
70,154302,Seguimiento y Control,Sabana Occidente,Cundinamarca,MOSQUERA,,BALSILLAS,Sin sanción,Otros,Trituradora,4.686963005306945,-74.2827445943305,Alta
71,154404,Seguimiento y Control,Ubate,Cundinamarca,TAUSA,,RASGATÁ,Sin sanción,Carbón,Chimenea,5.188262627219513,-73.88146159849582,Alta
72,154642,Seguimiento y Control,Soacha,Cundinamarca,SOACHA,,FUSUNGA,Sin sanción,Gas,Horno,4.526484315267038,-74.19289209494121,Media
73,155148,Seguimiento y Control,Sabana Centro,Cundinamarca,TOCANCIPA,,CANAVITA,Sin sanción,Gas,Horno,4.94890310168157,-73.94601077555946,Alta
74,155298,Seguimiento y Control,Sabana Centro,Cundinamarca,COGUA,,NEUSA,Sin sanción,Carbón,Horno,5.06757508437556,-73.95086588094019,Alta
75,155300,Seguimiento y Control,Ubate,Cundinamarca,TAUSA,,RASGATÁ,Sin sanción,Coque,Horno,5.187104937201386,-73.88082155045036,Alta
76,155300,Seguimiento y Control,Ubate,Cundinamarca,TAUSA,,RASGATÁ,Sin sanción,Coque,Horno,5.187113982906728,-73.88083056744304,Alta
77,155530,Seguimiento y Control,Sabana Centro,Cundinamarca,COGUA,,NEUSA,Sin sanción,Carbón,Horno,5.077117471050673,-73.96184828721185,Alta
78,156070,Seguimiento y Control,Sabana Occidente,Cundinamarca,MOSQUERA,,BALSILLAS,Sin sanción,Otros,Caldera,4.67388255865053,-74.26556225033188,Alta
79,161770,Seguimiento y Control,Ubate,Cundinamarca,TAUSA,,RASGATÁ,Sin sanción,Coque,Horno,5.184166157402317,-73.88134560550077,Alta
80,164064,Seguimiento y Control,Sabana Centro,Cundinamarca,COGUA,,NEUSA,Sin sanción,Carbón,Horno,5.072758477228417,-73.96027087464054,Alta
81,164066,Seguimiento y Control,Sabana Centro,Cundinamarca,COGUA,,NEUSA,Sin sanción,Carbón,Horno,5.072757472919745,-73.95485994243853,Alta
82,164672,Seguimiento y Control,Sabana Centro,Cundinamarca,COGUA,,NEUSA,Sin sanción,Carbón,Horno,5.074149403244205,-73.9512974754703,Alta
83,166012,Seguimiento y Control,Sabana Centro,Cundinamarca,CAJICA,,CHUNTAME ALTO,Sin sanción,Otros,Trituradora,4.906383841408903,-74.01451335072929,Alta
84,166542,Seguimiento y Control,Soacha,Cundinamarca,SIBATE,,LA UNIÓN,Sin sanción,Fuel Oil No.8,Horno,4.5071967,-74.2683929,Media
85,167378,Seguimiento y Control,Bogotá y Municipio de la Calera,Bogotá,BOGOTA,CIUDAD BOLIVAR,MOCHUELO BAJO,Sin sanción,Carbón,Horno,4.517287002502915,-74.14492788758095,Alta
86,167380,Seguimiento y Control,Bogotá y Municipio de la Calera,Bogotá,BOGOTA,CIUDAD BOLIVAR,MOCHUELO BAJO,Sin sanción,Carbón,Horno,4.534975795179951,-74.13999140271514,Alta
87,167394,Seguimiento y Control,Bogotá y Municipio de la Calera,Bogotá,BOGOTA,CIUDAD BOLIVAR,MOCHUELO BAJO,Sin sanción,Carbón,Horno,4.535310391458448,-74.13998242029001,Alta
88,167396,Seguimiento y Control,Bogotá y Municipio de la Calera,Bogotá,BOGOTA,CIUDAD BOLIVAR,MOCHUELO BAJO,Sin sanción,Carbón,Horno,4.503459767494724,-74.14802632128853,Alta
89,167796,Seguimiento y Control,Bogotá y Municipio de la Calera,Bogotá,BOGOTA,CIUDAD BOLIVAR,MOCHUELO BAJO,Sin sanción,Carbón,Horno,4.531032911512373,-74.14093723192799,Alta
90,168788,Seguimiento y Control,Bogotá y Municipio de la Calera,Bogotá,BOGOTA,CIUDAD BOLIVAR,MOCHUELO BAJO,Sin sanción,Carbón,Horno,4.526221823595039,-74.14258583733415,Alta
91,169532,Seguimiento y Control,Bogotá y Municipio de la Calera,Bogotá,BOGOTA,CIUDAD BOLIVAR,MOCHUELO BAJO,Sin sanción,Carbón,Horno,4.517658008181525,-74.14232375543543,Alta
92,169720,Seguimiento y Control,Bogotá y Municipio de la Calera,Bogotá,BOGOTA,CIUDAD BOLIVAR,MOCHUELO BAJO,Sin sanción,Carbón,Horno,4.534406065242357,-74.14014454355686,Alta
93,169726,Seguimiento y Control,Bogotá y Municipio de la Calera,Bogotá,BOGOTA,CIUDAD BOLIVAR,MOCHUELO BAJO,Sin sanción,Carbón,Horno,4.52597679631161,-74.15156082977826,Alta
94,169728,Seguimiento y Control,Bogotá y Municipio de la Calera,Bogotá,BOGOTA,CIUDAD BOLIVAR,MOCHUELO BAJO,Sin sanción,Carbón,Horno,4.519628633139708,-74.15048787853901,Alta
95,169730,Seguimiento y Control,Bogotá y Municipio de la Calera,Bogotá,BOGOTA,CIUDAD BOLIVAR,MOCHUELO BAJO,Sin sanción,Carbón,Horno,4.515343216106536,-74.13948510753538,Alta
96,169746,Seguimiento y Control,Bogotá y Municipio de la Calera,Bogotá,BOGOTA,CIUDAD BOLIVAR,MOCHUELO BAJO,Sin sanción,Carbón,Horno,4.526681284128709,-74.15967086038007,Alta
97,170762,Seguimiento y Control,Sabana Centro,Cundinamarca,TOCANCIPA,,VERGANZO,Sin sanción,Carbón,Caldera,4.9700386,-73.9740574,Media
98,170950,Seguimiento y Control,Bogotá y Municipio de la Calera,Bogotá,BOGOTA,CIUDAD BOLIVAR,MOCHUELO BAJO,Sin sanción,Carbón,Horno,4.523607901815922,-74.14750562613166,Alta
99,171144,Seguimiento y Control,Bogotá y Municipio de la Calera,Bogotá,BOGOTA,CIUDAD BOLIVAR,MOCHUELO BAJO,Sin sanción,ACPM,Horno,4.526293750993234,-74.14707335308687,Alta
100,171168,Seguimiento y Control,Bogotá y Municipio de la Calera,Bogotá,BOGOTA,CIUDAD BOLIVAR,MOCHUELO BAJO,Sin sanción,Carbón,Horno,4.514311647899588,-74.1466937521958,Alta
101,171196,Seguimiento y Control,Bogotá y Municipio de la Calera,Bogotá,BOGOTA,CIUDAD BOLIVAR,MOCHUELO BAJO,Sin sanción,Sin definir,Sin definir,4.506914034508921,-74.15013518661247,Alta
102,171200,Seguimiento y Control,Bogotá y Municipio de la Calera,Bogotá,BOGOTA,CIUDAD BOLIVAR,MOCHUELO BAJO,Sin sanción,Carbón,Horno,4.530824762533079,-74.14270339321416,Alta
103,171204,Seguimiento y Control,Bogotá y Municipio de la Calera,Bogotá,BOGOTA,CIUDAD BOLIVAR,MOCHUELO BAJO,Sin sanción,Sin definir,Sin definir,4.516029605486364,-74.14912686751758,Alta
104,171210,Seguimiento y Control,Bogotá y Municipio de la Calera,Bogotá,BOGOTA,CIUDAD BOLIVAR,MOCHUELO BAJO,Sin sanción,Carbón,Horno,4.51665431313687,-74.14128740772773,Alta
105,171210,Seguimiento y Control,Bogotá y Municipio de la Calera,Bogotá,BOGOTA,CIUDAD BOLIVAR,MOCHUELO BAJO,Sin sanción,Carbón,Horno,4.516283560010455,-74.14111616748636,Alta
106,171218,Seguimiento y Control,Bogotá y Municipio de la Calera,Bogotá,BOGOTA,CIUDAD BOLIVAR,MOCHUELO BAJO,Sin sanción,Carbón,Horno,4.51597608343633,-74.14123328287343,Alta
107,171372,Seguimiento y Control,Bogotá y Municipio de la Calera,Bogotá,BOGOTA,CIUDAD BOLIVAR,MOCHUELO ALTO,Sin sanción,Carbón,Horno,4.530960797220908,-74.13825191141156,Alta
108,171376,Seguimiento y Control,Bogotá y Municipio de la Calera,Bogotá,BOGOTA,CIUDAD BOLIVAR,MOCHUELO BAJO,Sin sanción,Carbón,Horno,4.530282179260267,-74.14265828905526,Alta
109,171570,Seguimiento y Control,Sabana Centro,Cundinamarca,TOCANCIPA,,CANAVITA,Sin sanción,Gas,Caldera,4.955374410959588,-73.92956321239852,Alta
110,172430,Seguimiento y Control,Sabana Centro,Cundinamarca,ZIPAQUIRA,,CENTRO,Sin sanción,Otros,Horno,5.009788663543848,-73.9962884761451,Alta
111,172924,Seguimiento y Control,Bogotá y Municipio de la Calera,Bogotá,BOGOTA,CIUDAD BOLIVAR,MOCHUELO BAJO,Sin sanción,ACPM,Caldera,4.526094739623085,-74.14772213040409,Alta
112,173286,Seguimiento y Control,Sabana Centro,Cundinamarca,COGUA,,RINCÓN SANTO,Sin sanción,Carbón,Horno,5.051780797728392,-73.97197091052757,Alta
113,173902,Seguimiento y Control,Sabana Centro,Cundinamarca,SOPO,,PUEBLO VIEJO,Sin sanción,Carbón,Horno,4.922950696435342,-73.95118215031653,Alta
114,174480,Seguimiento y Control,Sabana Centro,Cundinamarca,COGUA,,EL OLIVO,Sin sanción,Carbón,Horno,5.067159318971524,-73.95194813879871,Alta
115,174562,Seguimiento y Control,Bogotá y Municipio de la Calera,Bogotá,BOGOTA,CIUDAD BOLIVAR,MOCHUELO BAJO,Sin sanción,Carbón,Horno,4.522333277103341,-74.14262153423219,Alta
116,174768,Seguimiento y Control,Sabana Occidente,Cundinamarca,FUNZA,,LA ISLA,Sin sanción,Gas,Horno,4.750422507990216,-74.18150134396804,Alta
117,174782,Seguimiento y Control,Bogotá y Municipio de la Calera,Bogotá,BOGOTA,CIUDAD BOLIVAR,MOCHUELO BAJO,Sin sanción,Carbón,Horno,4.520469975307662,-74.14711785236653,Alta
118,174832,Seguimiento y Control,Sabana Centro,Cundinamarca,SOPO,,LA CAROLINA,Sin sanción,Gas,Horno,4.925290703351028,-73.94041636598074,Alta
119,175104,Seguimiento y Control,Sabana Centro,Cundinamarca,COGUA,,MORTIÑO,Sin sanción,Gas,Horno,5.038589828443855,-73.93841800424288,Alta
120,175380,Seguimiento y Control,Bogotá y Municipio de la Calera,Bogotá,BOGOTA,CIUDAD BOLIVAR,MOCHUELO BAJO,Sin sanción,Carbón,Horno,4.52988273894483,-74.15797713391493,Alta
121,176396,Seguimiento y Control,Ubate,Cundinamarca,LENGUAZAQUE,,RAMADA  FLORES,Sin sanción,Carbón,Horno,5.323226569497588,-73.71852365618248,Alta
122,178612,Seguimiento y Control,Soacha,Cundinamarca,SOACHA,,PANAMÁ,Sin sanción,Gas,Horno,4.459956039015855,-74.10719670471978,Alta
123,181110,Seguimiento y Control,Bogotá y Municipio de la Calera,Bogotá,BOGOTA,CIUDAD BOLIVAR,MOCHUELO BAJO,Sin sanción,Carbón,Horno,4.531258660037451,-74.1445867571135,Alta
124,183514,Seguimiento y Control,Sabana Occidente,Cundinamarca,MOSQUERA,,BALSILLAS,Sin sanción,Otros,Trituradora,4.66799319038012,-74.27412284038506,Alta
125,183556,Seguimiento y Control,Sabana Centro,Cundinamarca,COGUA,,RINCÓN SANTO,Sin sanción,Carbón,Horno,5.062846259618801,-73.95421250947518,Alta
126,183556,Seguimiento y Control,Sabana Centro,Cundinamarca,COGUA,,RINCÓN SANTO,Sin sanción,Carbón,Horno,5.063108431682171,-73.95382468213964,Alta
127,183556,Seguimiento y Control,Sabana Centro,Cundinamarca,COGUA,,RINCÓN SANTO,Sin sanción,Carbón,Horno,5.063470229451343,-73.95423944557243,Alta
128,183556,Seguimiento y Control,Sabana Centro,Cundinamarca,COGUA,,RINCÓN SANTO,Sin sanción,Carbón,Horno,5.063859128461356,-73.95450991481249,Alta
129,183556,Seguimiento y Control,Sabana Centro,Cundinamarca,COGUA,,RINCÓN SANTO,Sin sanción,Carbón,Horno,5.063298514179143,-73.95477154530808,Alta
130,183556,Seguimiento y Control,Sabana Centro,Cundinamarca,COGUA,,RINCÓN SANTO,Sin sanción,Carbón,Horno,5.062294659255415,-73.95432083082554,Alta
131,183560,Seguimiento y Control,Sabana Centro,Cundinamarca,TOCANCIPA,,TIBITÓ,Sin sanción,Carbón,Caldera,4.986453623175652,-73.96796882637689,Alta
132,183976,Seguimiento y Control,Sabana Centro,Cundinamarca,NEMOCON,,PATIO BONITO,Sin sanción,Carbón,Horno,5.141135929250273,-73.8982156143763,Alta
133,185276,Seguimiento y Control,Sabana Centro,Cundinamarca,CAJICA,,CANELÓN,Sin sanción,Carbón,Caldera,4.921062492435692,-74.03828759452762,Alta
134,185684,Seguimiento y Control,Ubate,Cundinamarca,SUTATAUSA,,PEÑAS DE BOQUERÓN,Sin sanción,Carbón,Chimenea,5.20757802997226,-73.85366477007742,Alta
135,187436,Seguimiento y Control,Soacha,Cundinamarca,SOACHA,,AREA URBANA,Sin sanción,Carbón,Horno,4.58235769991152,-74.21216233046063,Media
136,188060,Seguimiento y Control,Sabana Centro,Cundinamarca,CAJICA,,CHUNTAME ALTO,Sin sanción,Carbón,Caldera,4.972477821182302,-74.00104494634783,Alta
137,188280,Seguimiento y Control,Sabana Centro,Cundinamarca,COGUA,,EL OLIVO,Sin sanción,Carbón,Horno,5.07090404704611,-73.95688938595272,Alta
138,188764,Seguimiento y Control,Ubate,Cundinamarca,TAUSA,,RASGATÁ,Sin sanción,Carbón,Chimenea,5.189093129940887,-73.87686123390627,Alta
139,190770,Seguimiento y Control,Soacha,Cundinamarca,SIBATE,,CHUSACA,Sin sanción,Carbón,Caldera,4.5452388835447755,-74.24395194888565,Media
140,190772,Seguimiento y Control,Soacha,Cundinamarca,SIBATE,,CHUSACA,Sin sanción,Carbón,Caldera,4.546084701186974,-74.24407578731326,Media
141,197696,Seguimiento y Control,Sabana Occidente,Cundinamarca,MOSQUERA,,SAN JOSÉ,Sin sanción,Otros,Molino,4.697863547136177,-74.18591900240203,Alta
142,199550,Seguimiento y Control,Soacha,Cundinamarca,SOACHA,,CAZUCA,Sin sanción,Carbón,Caldera,4.59059363178149,-74.19144491479723,Alta
143,199976,Seguimiento y Control,Sabana Centro,Cundinamarca,COGUA,,EL OLIVO,Sin sanción,Carbón,Horno,5.069357018781721,-73.9532914220978,Alta
144,203658,Seguimiento y Control,Sabana Centro,Cundinamarca,CAJICA,,CHUNTAME BAJO,Sin sanción,Fuel Oil No.8,Planta de asfalto,4.950794121243961,-74.01465343303985,Alta
145,205016,Seguimiento y Control,Sabana Centro,Cundinamarca,COGUA,,CASA BLANCA,Sin sanción,Carbón,Batería de coquización,5.130911002130798,-73.90780567938849,Alta
146,205316,Seguimiento y Control,Sabana Centro,Cundinamarca,ZIPAQUIRA,,CENTRO,Sin sanción,Gas,Horno,5.029057177522787,-73.98090202384775,Alta
147,205998,Seguimiento y Control,Ubate,Cundinamarca,GUACHETA,,RABANAL,Sin sanción,Carbón,Horno,5.334212517575045,-73.70175481069927,Alta
148,206954,Seguimiento y Control,Sabana Centro,Cundinamarca,TOCANCIPA,,CANAVITA,Sin sanción,Otros,Horno,4.948160070683243,-73.93863541906872,Alta
149,206956,Seguimiento y Control,Sabana Centro,Cundinamarca,COGUA,,MORTIÑO,Sin sanción,Carbón,Horno,5.060730225984948,-73.95432112675945,Alta
150,208554,Seguimiento y Control,Sabana Centro,Cundinamarca,COTA,,VUELTA GRANDE,Sin sanción,Otros,Horno,4.741710643609742,-74.13242897551558,Alta
151,209714,Seguimiento y Control,Ubate,Cundinamarca,GUACHETA,,FRONTERA,Sin sanción,Coque,Horno,5.373902748081655,-73.69011881548678,Alta
152,210888,Seguimiento y Control,Ubate,Cundinamarca,SUTATAUSA,,PEÑAS DE CAJÓN,Sin sanción,Carbón,Horno,5.214274490915157,-73.84186403026766,Alta
153,211090,Seguimiento y Control,Soacha,Cundinamarca,SOACHA,,AREA URBANA,Sin sanción,Gas,Horno,4.545286581264353,-74.2436941623454,Alta
154,211788,Seguimiento y Control,Bogotá y Municipio de la Calera,Bogotá,BOGOTA,CIUDAD BOLIVAR,MOCHUELO BAJO,Sin sanción,Carbón,Horno,4.515170499729747,-74.1492168925191,Alta
155,214656,Seguimiento y Control,Alto Magdalena,Cundinamarca,GIRARDOT,,CENTRO,Sin sanción,Otros,Horno,4.327055786248329,-74.80120845771593,Alta
156,214656,Seguimiento y Control,Alto Magdalena,Cundinamarca,GIRARDOT,,AREA URBANA,Sin sanción,Otros,Horno,4.326766634580483,-74.80099199260722,Alta
157,215160,Seguimiento y Control,Ubate,Cundinamarca,LENGUAZAQUE,,RAMADA  FLORES,Sin sanción,Carbón,Horno,5.325691944704173,-73.71291977431318,Alta
158,215160,Seguimiento y Control,Ubate,Cundinamarca,LENGUAZAQUE,,RAMADA  FLORES,Sin sanción,Carbón,Horno,5.324652169741913,-73.71315494967774,Alta
