IDEstación,IDEmpresa,DistanciaKm,Variable,Incidencia
2,12,10.314113,SO2,0.192980
2,13,7.211088,NO,0.431709
2,13,7.211088,NO2,0.592129
2,13,7.211088,NOX,0.779153
2,13,7.211088,PM10,0.731171
2,13,7.211088,PM2.5,0.777220
2,13,7.211088,SO2,0.851277
2,14,1.344650,NO,0.606791
2,14,1.344650,NO2,0.679226
2,14,1.344650,NOX,0.728744
2,14,1.344650,PM10,0.886113
2,14,1.344650,PM2.5,0.887996
2,14,1.344650,SO2,0.486928
2,15,6.169907,NO,0.458391
2,15,6.169907,NO2,0.577689
2,15,6.169907,NOX,0.720418
2,15,6.169907,PM10,0.790620
2,15,6.169907,PM2.5,0.761501
2,15,6.169907,SO2,0.796366
2,16,66.308662,NO,0.000000
2,16,66.308662,NO2,0.000000
2,16,66.308662,NOX,0.000000
2,16,66.308662,PM10,0.000398
2,16,66.308662,PM2.5,0.069541
2,16,66.308662,SO2,0.000043
2,17,66.467154,NO,0.000000
2,17,66.467154,NO2,0.000000
2,17,66.467154,NOX,0.000000
2,17,66.467154,PM10,0.000383
2,17,66.467154,PM2.5,0.068733
2,17,66.467154,SO2,0.000039
2,18,99.064873,NO,0.000000
2,18,99.064873,NO2,0.000000
2,18,99.064873,NOX,0.000000
2,18,99.064873,PM10,0.000000
2,18,99.064873,PM2.5,0.003430
2,18,99.064873,SO2,0.000000
2,19,50.602102,NO,0.000000
2,19,50.602102,NO2,0.000000
2,19,50.602102,NOX,0.000095
2,19,50.602102,PM10,0.009531
2,19,50.602102,PM2.5,0.192881
2,19,50.602102,SO2,0.002403
2,20,23.100935,NO,0.000322
2,20,23.100935,NO2,0.008248
2,20,23.100935,NOX,0.083612
2,20,23.100935,PM10,0.211848
2,20,23.100935,PM2.5,0.396499
2,20,23.100935,SO2,0.115401
2,21,9.382324,NO,0.202850
2,21,9.382324,NO2,0.346319
2,21,9.382324,NOX,0.540204
2,21,9.382324,PM10,0.686986
2,21,9.382324,PM2.5,0.761818
2,21,9.382324,SO2,0.621313
2,22,86.520383,NO,0.000000
2,22,86.520383,NO2,0.000000
2,22,86.520383,NOX,0.000000
2,22,86.520383,PM10,0.000002
2,22,86.520383,PM2.5,0.012501
2,22,86.520383,SO2,0.000000
2,23,58.750168,NO,0.000000
2,23,58.750168,NO2,0.000000
2,23,58.750168,NOX,0.000005
2,23,58.750168,PM10,0.002040
2,23,58.750168,PM2.5,0.117574
2,23,58.750168,SO2,0.000352
2,24,14.848649,NO,0.035346
2,24,14.848649,NO2,0.146862
2,24,14.848649,NOX,0.403062
2,24,14.848649,PM10,0.394544
2,24,14.848649,PM2.5,0.511168
2,24,14.848649,SO2,0.258675
2,25,75.971445,NO,0.000000
2,25,75.971445,NO2,0.000000
2,25,75.971445,NOX,0.000000
2,25,75.971445,PM10,0.000037
2,25,75.971445,PM2.5,0.032399
2,25,75.971445,SO2,0.000002
2,26,50.868373,NO,0.000000
2,26,50.868373,NO2,0.000000
2,26,50.868373,NOX,0.000086
2,26,50.868373,PM10,0.009096
2,26,50.868373,PM2.5,0.190007
2,26,50.868373,SO2,0.002263
2,27,66.248191,NO,0.000000
2,27,66.248191,NO2,0.000000
2,27,66.248191,NOX,0.000000
2,27,66.248191,PM10,0.000403
2,27,66.248191,PM2.5,0.069852
2,27,66.248191,SO2,0.000044
2,28,60.592197,NO,0.000000
2,28,60.592197,NO2,0.000000
2,28,60.592197,NOX,0.000002
2,28,60.592197,PM10,0.001395
2,28,60.592197,PM2.5,0.104057
2,28,60.592197,SO2,0.000216
2,29,65.520948,NO,0.000000
2,29,65.520948,NO2,0.000000
2,29,65.520948,NOX,0.000000
2,29,65.520948,PM10,0.000476
2,29,65.520948,PM2.5,0.073671
2,29,65.520948,SO2,0.000051
2,30,65.561688,NO,0.000000
2,30,65.561688,NO2,0.000000
2,30,65.561688,NOX,0.000000
2,30,65.561688,PM10,0.000471
2,30,65.561688,PM2.5,0.073453
2,30,65.561688,SO2,0.000051
2,31,65.258791,NO,0.000000
2,31,65.258791,NO2,0.000000
2,31,65.258791,NOX,0.000000
2,31,65.258791,PM10,0.000505
2,31,65.258791,PM2.5,0.075088
2,31,65.258791,SO2,0.000055
2,33,81.849621,NO,0.000000
2,33,81.849621,NO2,0.000000
2,33,81.849621,NOX,0.000000
2,33,81.849621,PM10,0.000007
2,33,81.849621,PM2.5,0.019351
2,33,81.849621,SO2,0.000000
2,34,81.879142,NO,0.000000
2,34,81.879142,NO2,0.000000
2,34,81.879142,NOX,0.000000
2,34,81.879142,PM10,0.000007
2,34,81.879142,PM2.5,0.019299
2,34,81.879142,SO2,0.000000
2,35,15.463856,NO,0.024874
2,35,15.463856,NO2,0.106364
2,35,15.463856,NOX,0.319669
2,35,15.463856,PM10,0.528948
2,35,15.463856,PM2.5,0.700477
2,35,15.463856,SO2,0.444101
2,36,17.784485,NO,0.008793
2,36,17.784485,NO2,0.065723
2,36,17.784485,NOX,0.274181
2,36,17.784485,PM10,0.334280
2,36,17.784485,PM2.5,0.484673
2,36,17.784485,SO2,0.187063
2,37,94.710845,NO,0.000000
2,37,94.710845,NO2,0.000000
2,37,94.710845,NOX,0.000000
2,37,94.710845,PM10,0.000000
2,37,94.710845,PM2.5,0.005481
2,37,94.710845,SO2,0.000000
2,38,92.285221,NO,0.000000
2,38,92.285221,NO2,0.000000
2,38,92.285221,NOX,0.000000
2,38,92.285221,PM10,0.000000
2,38,92.285221,PM2.5,0.007051
2,38,92.285221,SO2,0.000000
2,39,23.090084,NO,0.000068
2,39,23.090084,NO2,0.001725
2,39,23.090084,NOX,0.017449
2,39,23.090084,PM10,0.344552
2,39,23.090084,PM2.5,0.512287
2,39,23.090084,SO2,0.033979
2,40,6.287984,NO,0.256640
2,40,6.287984,NO2,0.326336
2,40,6.287984,NOX,0.387431
2,40,6.287984,PM10,0.684846
2,40,6.287984,PM2.5,0.586964
2,40,6.287984,SO2,0.223883
2,41,23.065360,NO,0.000426
2,41,23.065360,NO2,0.010791
2,41,23.065360,NOX,0.115624
2,41,23.065360,PM10,0.318677
2,41,23.065360,PM2.5,0.595291
2,41,23.065360,SO2,0.231645
2,42,16.917689,NO,0.013353
2,42,16.917689,NO2,0.076007
2,42,16.917689,NOX,0.279688
2,42,16.917689,PM10,0.487574
2,42,16.917689,PM2.5,0.682394
2,42,16.917689,SO2,0.270580
2,43,59.375823,NO,0.000000
2,43,59.375823,NO2,0.000000
2,43,59.375823,NOX,0.000002
2,43,59.375823,PM10,0.000947
2,43,59.375823,PM2.5,0.050153
2,43,59.375823,SO2,0.000123
2,44,66.482914,NO,0.000000
2,44,66.482914,NO2,0.000000
2,44,66.482914,NOX,0.000000
2,44,66.482914,PM10,0.000297
2,44,66.482914,PM2.5,0.053397
2,44,66.482914,SO2,0.000024
2,45,24.238669,NO,0.000184
2,45,24.238669,NO2,0.006543
2,45,24.238669,NOX,0.089577
2,45,24.238669,PM10,0.289499
2,45,24.238669,PM2.5,0.577215
2,45,24.238669,SO2,0.192721
2,46,9.857328,NO,0.115271
2,46,9.857328,NO2,0.208035
2,46,9.857328,NOX,0.317171
2,46,9.857328,PM10,0.619859
2,46,9.857328,PM2.5,0.568470
2,46,9.857328,SO2,0.196972
2,47,59.631743,NO,0.000000
2,47,59.631743,NO2,0.000000
2,47,59.631743,NOX,0.000003
2,47,59.631743,PM10,0.001703
2,47,59.631743,PM2.5,0.110951
2,47,59.631743,SO2,0.000280
2,48,30.564373,NO,0.000002
2,48,30.564373,NO2,0.000466
2,48,30.564373,NOX,0.028615
2,48,30.564373,PM10,0.158917
2,48,30.564373,PM2.5,0.476097
2,48,30.564373,SO2,0.094774
2,49,9.857328,NO,0.219015
2,49,9.857328,NO2,0.395267
2,49,9.857328,NOX,0.634341
2,49,9.857328,PM10,0.676209
2,49,9.857328,PM2.5,0.694796
2,49,9.857328,SO2,0.698355
2,50,41.377571,NO,0.000000
2,50,41.377571,NO2,0.000001
2,50,41.377571,NOX,0.002270
2,50,41.377571,PM10,0.029877
2,50,41.377571,PM2.5,0.223189
2,50,41.377571,SO2,0.009401
2,51,61.295118,NO,0.000000
2,51,61.295118,NO2,0.000000
2,51,61.295118,NOX,0.000002
2,51,61.295118,PM10,0.001203
2,51,61.295118,PM2.5,0.099220
2,51,61.295118,SO2,0.000179
2,52,24.927014,NO,0.000115
2,52,24.927014,NO2,0.005023
2,52,24.927014,NOX,0.079646
2,52,24.927014,PM10,0.273035
2,52,24.927014,PM2.5,0.566464
2,52,24.927014,SO2,0.178759
2,54,91.471868,NO,0.000000
2,54,91.471868,NO2,0.000000
2,54,91.471868,NOX,0.000000
2,54,91.471868,PM10,0.000000
2,54,91.471868,PM2.5,0.007662
2,54,91.471868,SO2,0.000000
2,56,91.471868,NO,0.000000
2,56,91.471868,NO2,0.000000
2,56,91.471868,NOX,0.000000
2,56,91.471868,PM10,0.000000
2,56,91.471868,PM2.5,0.007662
2,56,91.471868,SO2,0.000000
2,57,19.966160,NO,0.002801
2,57,19.966160,NO2,0.034536
2,57,19.966160,NOX,0.205988
2,57,19.966160,PM10,0.289886
2,57,19.966160,PM2.5,0.462996
2,57,19.966160,SO2,0.155777
2,58,14.148610,NO,0.027564
2,58,14.148610,NO2,0.093027
2,58,14.148610,NOX,0.221793
2,58,14.148610,PM10,0.518667
2,58,14.148610,PM2.5,0.536849
2,58,14.148610,SO2,0.156669
2,59,10.427182,NO,0.186530
2,59,10.427182,NO2,0.361137
2,59,10.427182,NOX,0.609385
2,59,10.427182,PM10,0.662821
2,59,10.427182,PM2.5,0.690349
2,59,10.427182,SO2,0.680645
2,60,66.710287,NO,0.000000
2,60,66.710287,NO2,0.000000
2,60,66.710287,NOX,0.000000
2,60,66.710287,PM10,0.000362
2,60,66.710287,PM2.5,0.067508
2,60,66.710287,SO2,0.000038
2,61,23.096339,NO,0.000431
2,61,23.096339,NO2,0.012048
2,61,23.096339,NOX,0.128997
2,61,23.096339,PM10,0.229587
2,61,23.096339,PM2.5,0.429591
2,61,23.096339,SO2,0.115455
2,62,59.224443,NO,0.000000
2,62,59.224443,NO2,0.000000
2,62,59.224443,NOX,0.000002
2,62,59.224443,PM10,0.000977
2,62,59.224443,PM2.5,0.050656
2,62,59.224443,SO2,0.000128
2,63,22.004900,NO,0.000854
2,63,22.004900,NO2,0.017699
2,63,22.004900,NOX,0.153041
2,63,22.004900,PM10,0.249996
2,63,22.004900,PM2.5,0.441501
2,63,22.004900,SO2,0.128801
2,64,8.296041,NO,0.264856
2,64,8.296041,NO2,0.402377
2,64,8.296041,NOX,0.577453
2,64,8.296041,PM10,0.710194
2,64,8.296041,PM2.5,0.769989
2,64,8.296041,SO2,0.648402
2,65,60.155542,NO,0.000000
2,65,60.155542,NO2,0.000000
2,65,60.155542,NOX,0.000002
2,65,60.155542,PM10,0.001528
2,65,60.155542,PM2.5,0.107150
2,65,60.155542,SO2,0.000229
2,66,33.619212,NO,0.000000
2,66,33.619212,NO2,0.000094
2,66,33.619212,NOX,0.013607
2,66,33.619212,PM10,0.113200
2,66,33.619212,PM2.5,0.426962
2,66,33.619212,SO2,0.057694
2,67,50.562234,NO,0.000000
2,67,50.562234,NO2,0.000000
2,67,50.562234,NOX,0.000096
2,67,50.562234,PM10,0.009598
2,67,50.562234,PM2.5,0.193313
2,67,50.562234,SO2,0.002425
2,68,42.385306,NO,0.000000
2,68,42.385306,NO2,0.000001
2,68,42.385306,NOX,0.001607
2,68,42.385306,PM10,0.025817
2,68,42.385306,PM2.5,0.212965
2,68,42.385306,SO2,0.006973
2,69,50.275002,NO,0.000000
2,69,50.275002,NO2,0.000000
2,69,50.275002,NOX,0.000113
2,69,50.275002,PM10,0.010091
2,69,50.275002,PM2.5,0.196449
2,69,50.275002,SO2,0.002747
2,70,5.467853,NO,0.293414
2,70,5.467853,NO2,0.351866
2,70,5.467853,NOX,0.400621
2,70,5.467853,PM10,0.696366
2,70,5.467853,PM2.5,0.590117
2,70,5.467853,SO2,0.228732
2,71,66.149113,NO,0.000000
2,71,66.149113,NO2,0.000000
2,71,66.149113,NOX,0.000000
2,71,66.149113,PM10,0.000344
2,71,66.149113,PM2.5,0.058636
2,71,66.149113,SO2,0.000037
2,72,24.254424,NO,0.000201
2,72,24.254424,NO2,0.007850
2,72,24.254424,NOX,0.106632
2,72,24.254424,PM10,0.208807
2,72,24.254424,PM2.5,0.416701
2,72,24.254424,SO2,0.102209
2,73,42.814985,NO,0.000000
2,73,42.814985,NO2,0.000000
2,73,42.814985,NOX,0.001415
2,73,42.814985,PM10,0.024233
2,73,42.814985,PM2.5,0.208677
2,73,42.814985,SO2,0.006428
2,74,51.009266,NO,0.000000
2,74,51.009266,NO2,0.000000
2,74,51.009266,NOX,0.000082
2,74,51.009266,PM10,0.008873
2,74,51.009266,PM2.5,0.188498
2,74,51.009266,SO2,0.002192
2,75,66.096503,NO,0.000000
2,75,66.096503,NO2,0.000000
2,75,66.096503,NOX,0.000000
2,75,66.096503,PM10,0.000441
2,75,66.096503,PM2.5,0.074559
2,75,66.096503,SO2,0.000047
2,76,66.096626,NO,0.000000
2,76,66.096626,NO2,0.000000
2,76,66.096626,NOX,0.000000
2,76,66.096626,PM10,0.000441
2,76,66.096626,PM2.5,0.074559
2,76,66.096626,SO2,0.000047
2,77,50.974688,NO,0.000000
2,77,50.974688,NO2,0.000000
2,77,50.974688,NOX,0.000083
2,77,50.974688,PM10,0.008927
2,77,50.974688,PM2.5,0.188868
2,77,50.974688,SO2,0.002209
2,78,6.604364,NO,0.412259
2,78,6.604364,NO2,0.537372
2,78,6.604364,NOX,0.687569
2,78,6.604364,PM10,0.741851
2,78,6.604364,PM2.5,0.780847
2,78,6.604364,SO2,0.504234
2,79,65.809794,NO,0.000000
2,79,65.809794,NO2,0.000000
2,79,65.809794,NOX,0.000000
2,79,65.809794,PM10,0.000470
2,79,65.809794,PM2.5,0.076143
2,79,65.809794,SO2,0.000051
2,80,50.728805,NO,0.000000
2,80,50.728805,NO2,0.000000
2,80,50.728805,NOX,0.000091
2,80,50.728805,PM10,0.009322
2,80,50.728805,PM2.5,0.191510
2,80,50.728805,SO2,0.002335
2,81,51.131130,NO,0.000000
2,81,51.131130,NO2,0.000000
2,81,51.131130,NOX,0.000079
2,81,51.131130,PM10,0.008684
2,81,51.131130,PM2.5,0.187199
2,81,51.131130,SO2,0.002132
2,82,51.511922,NO,0.000000
2,82,51.511922,NO2,0.000000
2,82,51.511922,NOX,0.000069
2,82,51.511922,PM10,0.008116
2,82,51.511922,PM2.5,0.183178
2,82,51.511922,SO2,0.001955
2,83,33.881478,NO,0.000000
2,83,33.881478,NO2,0.000057
2,83,33.881478,NOX,0.008255
2,83,33.881478,PM10,0.100637
2,83,33.881478,PM2.5,0.317087
2,83,33.881478,SO2,0.019067
2,84,25.139906,NO,0.000120
2,84,25.139906,NO2,0.005578
2,84,25.139906,NOX,0.091608
2,84,25.139906,PM10,0.282938
2,84,25.139906,PM2.5,0.594404
2,84,25.139906,SO2,0.223673
2,85,27.519616,NO,0.000017
2,85,27.519616,NO2,0.001736
2,85,27.519616,NOX,0.049673
2,85,27.519616,PM10,0.215800
2,85,27.519616,PM2.5,0.525249
2,85,27.519616,SO2,0.132142
2,86,26.109724,NO,0.000050
2,86,26.109724,NO2,0.003134
2,86,26.109724,NOX,0.064586
2,86,26.109724,PM10,0.245960
2,86,26.109724,PM2.5,0.547783
2,86,26.109724,SO2,0.156319
2,87,26.078844,NO,0.000051
2,87,26.078844,NO2,0.003174
2,87,26.078844,NOX,0.064949
2,87,26.078844,PM10,0.246647
2,87,26.078844,PM2.5,0.548274
2,87,26.078844,SO2,0.156880
2,88,28.713040,NO,0.000007
2,88,28.713040,NO2,0.001028
2,88,28.713040,NOX,0.039348
2,88,28.713040,PM10,0.192144
2,88,28.713040,PM2.5,0.506027
2,88,28.713040,SO2,0.113834
2,89,26.425838,NO,0.000040
2,89,26.425838,NO2,0.002753
2,89,26.425838,NOX,0.060967
2,89,26.425838,PM10,0.238994
2,89,26.425838,PM2.5,0.542753
2,89,26.425838,SO2,0.150655
2,90,26.788713,NO,0.000030
2,90,26.788713,NO2,0.002368
2,90,26.788713,NOX,0.057014
2,90,26.788713,PM10,0.231141
2,90,26.788713,PM2.5,0.536961
2,90,26.788713,SO2,0.144327
2,91,27.625867,NO,0.000016
2,91,27.625867,NO2,0.001659
2,91,27.625867,NOX,0.048673
2,91,27.625867,PM10,0.213624
2,91,27.625867,PM2.5,0.523542
2,91,27.625867,SO2,0.130432
2,92,26.154182,NO,0.000048
2,92,26.154182,NO2,0.003078
2,92,26.154182,NOX,0.064067
2,92,26.154182,PM10,0.244973
2,92,26.154182,PM2.5,0.547077
2,92,26.154182,SO2,0.155514
2,93,26.317932,NO,0.000043
2,93,26.317932,NO2,0.002878
2,93,26.317932,NOX,0.062184
2,93,26.317932,PM10,0.241359
2,93,26.317932,PM2.5,0.544471
2,93,26.317932,SO2,0.152573
2,94,26.994629,NO,0.000026
2,94,26.994629,NO2,0.002171
2,94,26.994629,NOX,0.054863
2,94,26.994629,PM10,0.226754
2,94,26.994629,PM2.5,0.533667
2,94,26.994629,SO2,0.140819
2,95,28.005939,NO,0.000012
2,95,28.005939,NO2,0.001406
2,95,28.005939,NOX,0.045227
2,95,28.005939,PM10,0.205950
2,95,28.005939,PM2.5,0.517429
2,95,28.005939,SO2,0.124445
2,96,25.826416,NO,0.000061
2,96,25.826416,NO2,0.003516
2,96,25.826416,NOX,0.067972
2,96,25.826416,PM10,0.252302
2,96,25.826416,PM2.5,0.552279
2,96,25.826416,SO2,0.161515
2,97,41.719444,NO,0.000000
2,97,41.719444,NO2,0.000001
2,97,41.719444,NOX,0.001740
2,97,41.719444,PM10,0.039383
2,97,41.719444,PM2.5,0.304192
2,97,41.719444,SO2,0.015794
2,98,26.766875,NO,0.000031
2,98,26.766875,NO2,0.002389
2,98,26.766875,NOX,0.057246
2,98,26.766875,PM10,0.231609
2,98,26.766875,PM2.5,0.537310
2,98,26.766875,SO2,0.144703
2,99,26.530944,NO,0.000048
2,99,26.530944,NO2,0.003454
2,99,26.530944,NOX,0.077162
2,99,26.530944,PM10,0.236703
2,99,26.530944,PM2.5,0.541077
2,99,26.530944,SO2,0.190654
2,100,27.714798,NO,0.000015
2,100,27.714798,NO2,0.001596
2,100,27.714798,NOX,0.047848
2,100,27.714798,PM10,0.211813
2,100,27.714798,PM2.5,0.522113
2,100,27.714798,SO2,0.129014
2,101,28.264624,NO,0.000004
2,101,28.264624,NO2,0.000519
2,101,28.264624,NOX,0.019419
2,101,28.264624,PM10,0.105993
2,101,28.264624,PM2.5,0.228116
2,101,28.264624,SO2,0.052712
2,102,26.343340,NO,0.000042
2,102,26.343340,NO2,0.002848
2,102,26.343340,NOX,0.061896
2,102,26.343340,PM10,0.240801
2,102,26.343340,PM2.5,0.544067
2,102,26.343340,SO2,0.152120
2,103,27.418527,NO,0.000008
2,103,27.418527,NO2,0.000750
2,103,27.418527,NOX,0.022870
2,103,27.418527,PM10,0.114994
2,103,27.418527,PM2.5,0.234166
2,103,27.418527,SO2,0.058530
2,104,27.779829,NO,0.000014
2,104,27.779829,NO2,0.001552
2,104,27.779829,NOX,0.047252
2,104,27.779829,PM10,0.210494
2,104,27.779829,PM2.5,0.521067
2,104,27.779829,SO2,0.127983
2,105,27.825032,NO,0.000014
2,105,27.825032,NO2,0.001522
2,105,27.825032,NOX,0.046842
2,105,27.825032,PM10,0.209581
2,105,27.825032,PM2.5,0.520340
2,105,27.825032,SO2,0.127270
2,106,27.848231,NO,0.000014
2,106,27.848231,NO2,0.001506
2,106,27.848231,NOX,0.046632
2,106,27.848231,PM10,0.209113
2,106,27.848231,PM2.5,0.519967
2,106,27.848231,SO2,0.126905
2,107,26.590131,NO,0.000035
2,107,26.590131,NO2,0.002572
2,107,26.590131,NOX,0.059151
2,107,26.590131,PM10,0.235419
2,107,26.590131,PM2.5,0.540132
2,107,26.590131,SO2,0.147767
2,108,26.397509,NO,0.000040
2,108,26.397509,NO2,0.002785
2,108,26.397509,NOX,0.061285
2,108,26.397509,PM10,0.239613
2,108,26.397509,PM2.5,0.543204
2,108,26.397509,SO2,0.151157
2,109,44.729619,NO,0.000000
2,109,44.729619,NO2,0.000000
2,109,44.729619,NOX,0.000833
2,109,44.729619,PM10,0.018132
2,109,44.729619,PM2.5,0.190122
2,109,44.729619,SO2,0.004950
2,110,42.887796,NO,0.000000
2,110,42.887796,NO2,0.000000
2,110,42.887796,NOX,0.001272
2,110,42.887796,PM10,0.033192
2,110,42.887796,PM2.5,0.287937
2,110,42.887796,SO2,0.008577
2,111,26.514473,NO,0.000051
2,111,26.514473,NO2,0.003661
2,111,26.514473,NOX,0.081266
2,111,26.514473,PM10,0.237061
2,111,26.514473,PM2.5,0.541339
2,111,26.514473,SO2,0.200343
2,112,48.131122,NO,0.000000
2,112,48.131122,NO2,0.000000
2,112,48.131122,NOX,0.000221
2,112,48.131122,PM10,0.014536
2,112,48.131122,PM2.5,0.220878
2,112,48.131122,SO2,0.004132
2,113,40.777358,NO,0.000000
2,113,40.777358,NO2,0.000001
2,113,40.777358,NOX,0.002141
2,113,40.777358,PM10,0.045052
2,113,40.777358,PM2.5,0.317614
2,113,40.777358,SO2,0.017668
2,114,50.893506,NO,0.000000
2,114,50.893506,NO2,0.000000
2,114,50.893506,NOX,0.000086
2,114,50.893506,PM10,0.009056
2,114,50.893506,PM2.5,0.189737
2,114,50.893506,SO2,0.002250
2,115,27.159246,NO,0.000023
2,115,27.159246,NO2,0.002025
2,115,27.159246,NOX,0.053191
2,115,27.159246,PM10,0.223284
2,115,27.159246,PM2.5,0.531031
2,115,27.159246,SO2,0.138056
2,116,9.572798,NO,0.199153
2,116,9.572798,NO2,0.380131
2,116,9.572798,NOX,0.598138
2,116,9.572798,PM10,0.493067
2,116,9.572798,PM2.5,0.549099
2,116,9.572798,SO2,0.308174
2,117,27.092245,NO,0.000024
2,117,27.092245,NO2,0.002084
2,117,27.092245,NOX,0.053866
2,117,27.092245,PM10,0.224693
2,117,27.092245,PM2.5,0.532104
2,117,27.092245,SO2,0.139176
2,118,41.934641,NO,0.000000
2,118,41.934641,NO2,0.000001
2,118,41.934641,NOX,0.001833
2,118,41.934641,PM10,0.027571
2,118,41.934641,PM2.5,0.217508
2,118,41.934641,SO2,0.007587
2,119,49.709361,NO,0.000000
2,119,49.709361,NO2,0.000000
2,119,49.709361,NOX,0.000154
2,119,49.709361,PM10,0.008037
2,119,49.709361,PM2.5,0.146408
2,119,49.709361,SO2,0.001558
2,120,25.597667,NO,0.000072
2,120,25.597667,NO2,0.003855
2,120,25.597667,NOX,0.070806
2,120,25.597667,PM10,0.257489
2,120,25.597667,PM2.5,0.555900
2,120,25.597667,SO2,0.165793
2,121,89.347075,NO,0.000000
2,121,89.347075,NO2,0.000000
2,121,89.347075,NOX,0.000000
2,121,89.347075,PM10,0.000001
2,121,89.347075,PM2.5,0.009485
2,121,89.347075,SO2,0.000000
2,122,35.129276,NO,0.000000
2,122,35.129276,NO2,0.000051
2,122,35.129276,NOX,0.011326
2,122,35.129276,PM10,0.068315
2,122,35.129276,PM2.5,0.291080
2,122,35.129276,SO2,0.024336
2,123,26.194141,NO,0.000047
2,123,26.194141,NO2,0.003028
2,123,26.194141,NOX,0.063604
2,123,26.194141,PM10,0.244088
2,123,26.194141,PM2.5,0.546441
2,123,26.194141,SO2,0.154793
2,124,7.312401,NO,0.211488
2,124,7.312401,NO2,0.292680
2,124,7.312401,NOX,0.369135
2,124,7.312401,PM10,0.668536
2,124,7.312401,PM2.5,0.582438
2,124,7.312401,SO2,0.217058
2,125,50.372345,NO,0.000000
2,125,50.372345,NO2,0.000000
2,125,50.372345,NOX,0.000103
2,125,50.372345,PM10,0.009921
2,125,50.372345,PM2.5,0.195383
2,125,50.372345,SO2,0.002530
2,126,50.423029,NO,0.000000
2,126,50.423029,NO2,0.000000
2,126,50.423029,NOX,0.000101
2,126,50.423029,PM10,0.009834
2,126,50.423029,PM2.5,0.194829
2,126,50.423029,SO2,0.002501
2,127,50.420788,NO,0.000000
2,127,50.420788,NO2,0.000000
2,127,50.420788,NOX,0.000101
2,127,50.420788,PM10,0.009838
2,127,50.420788,PM2.5,0.194853
2,127,50.420788,SO2,0.002503
2,128,50.431760,NO,0.000000
2,128,50.431760,NO2,0.000000
2,128,50.431760,NOX,0.000101
2,128,50.431760,PM10,0.009819
2,128,50.431760,PM2.5,0.194734
2,128,50.431760,SO2,0.002497
2,129,50.366493,NO,0.000000
2,129,50.366493,NO2,0.000000
2,129,50.366493,NOX,0.000103
2,129,50.366493,PM10,0.009932
2,129,50.366493,PM2.5,0.195447
2,129,50.366493,SO2,0.002533
2,130,50.319510,NO,0.000000
2,130,50.319510,NO2,0.000000
2,130,50.319510,NOX,0.000105
2,130,50.319510,PM10,0.010013
2,130,50.319510,PM2.5,0.195961
2,130,50.319510,SO2,0.002560
2,131,43.405579,NO,0.000000
2,131,43.405579,NO2,0.000000
2,131,43.405579,NOX,0.001057
2,131,43.405579,PM10,0.030723
2,131,43.405579,PM2.5,0.280878
