IDExpediente,Estado,Regional,Departamento,Municipio,Vereda,Class,TipoCombustible,TipoFuenteEmision,Cuenca,Latitud,Longitud
127196.0,Seguimiento y Control,Alto Magdalena,Cundinamarca,NILO,LA ESMERALDA,,ACPM,Caldera,Río Sumapaz,3.978951276472348,-74.45757606122676
127300.0,Seguimiento y Control,Sabana Centro,Cundinamarca,COGUA,Casa Blanca,,Carbón,Caldera Horno,Río Bogotá,5.124111114499696,-73.90930461495846
128338.0,Seguimiento y Control,Sabana Centro,Cundinamarca,COTA,Vuelta Grande,,Gas,Caldera Horno,Río Bogotá,4.741710643609742,-74.13242897551558
130078.0,Seguimiento y Control,Ubate,Cundinamarca,CUCUNUBA,Pueblo Viejo,,Carbón,Caldera Horno,Río Suárez,5.235020055600297,-73.80065993375005
131966.0,Seguimiento y Control,Sabana Centro,Cundinamarca,COGUA,EL OLIVO,,Carbón,Horno,Río Bogotá,5.067304100739209,-73.95243509058483
134880.0,Seguimiento y Control,Ubate,Cundinamarca,TAUSA,Rasgatá,,Carbón,Caldera Horno,Río Suárez,5.188253149081619,-73.88006353101989
135212.0,Seguimiento y Control,Ubate,Cundinamarca,TAUSA,Pajarito,,Carbón,Caldera Horno,Río Bogotá,5.155501952928119,-73.92039921548076
135366.0,Seguimiento y Control,Almeidas y Municipio de Guatavita,Cundinamarca,SUESCA,CHITIVA,,Carbón,Horno,Río Bogotá,5.102860839254118,-73.80553322046644
135366.0,Seguimiento y Control,Almeidas y Municipio de Guatavita,Cundinamarca,SUESCA,CHITIVA ABAJO,,Carbón,Horno,Río Bogotá,5.10078911304372,-73.80339670128349
135366.0,Seguimiento y Control,Almeidas y Municipio de Guatavita,Cundinamarca,SUESCA,CHITIVA ABAJO,,Carbón,Horno,Río Bogotá,5.099270879183655,-73.80567902769707
135366.0,Seguimiento y Control,Almeidas y Municipio de Guatavita,Cundinamarca,SUESCA,CHITIVA ABAJO,,Carbón,Horno,Río Bogotá,5.099270879183655,-73.80567902769707
135850.0,Seguimiento y Control,Ubate,Cundinamarca,UBATE,La Patera,,Otros,Horno,Río Suárez,5.306875406456808,-73.80306390803548
135850.0,Seguimiento y Control,Ubate,Cundinamarca,UBATE,La Patera,,Otros,Horno,Río Suárez,5.307454278663283,-73.80336136073772
136222.0,Seguimiento y Control,Sabana Occidente,Cundinamarca,FACATATIVA,Mancilla,,Carbón,Caldera,Río Bogotá,4.846983831770509,-74.34650179589275
136448.0,Seguimiento y Control,Soacha,Cundinamarca,SOACHA,AREA URBANA,,Gas,Horno,(sin definir),11.886868625331884,-40.527334955878445
136490.0,Seguimiento y Control,Alto Magdalena,Cundinamarca,RICAURTE,BUENOS AIRES,,Carbón,Horno,Río Sumapaz,3.887967424881892,-74.371055451274
136616.0,Seguimiento y Control,Ubate,Cundinamarca,LENGUAZAQUE,Estancia,,Otros,Horno,Río Suárez,5.328939839386754,-73.68600615127848
136886.0,Seguimiento y Control,Soacha,Cundinamarca,SIBATE,Chacua,,NoAplica,FILTRO MOLINO PENDULAR,(sin definir),11.873641666430338,-40.541236252072466
137006.0,Seguimiento y Control,Sabana Occidente,Cundinamarca,MOSQUERA,Serrezeluita,,Otros,Molino,Río Bogotá,4.699729230701192,-74.22047602944497
137218.0,Seguimiento y Control,Soacha,Cundinamarca,SIBATE,Chacua,,Carbón,Caldera,(sin definir),11.879024648012846,-40.543524257045355
137254.0,Seguimiento y Control,Soacha,Cundinamarca,SOACHA,CANOAS,,Otros,Barrilado de grafito ,Río Bogotá,4.582978439087634,-74.24243217681114
138622.0,Seguimiento y Control,Sabana Centro,Cundinamarca,NEMOCON,Patio Bonito,,(sin definir),(sin definir),Río Bogotá,5.118907635516168,-73.8954349960792
139320.0,Seguimiento y Control,Ubate,Cundinamarca,TAUSA,Rasgatá,,(sin definir),Horno,Río Suárez,5.190613195803246,-73.87958474565609
139882.0,Seguimiento y Control,Soacha,Cundinamarca,SOACHA,Fusunga,,Carbón,Horno,(sin definir),11.869338952096133,-40.50123088878086
141414.0,Seguimiento y Control,Sabana Occidente,Cundinamarca,FACATATIVA,Centro Urbano,,Otros,Aspiración molino Danioni I,Río Bogotá,4.80476559651936,-74.21355643778917
141586.0,Seguimiento y Control,Sabana Centro,Cundinamarca,NEMOCON,Patio Bonito,,Carbón,Caldera Horno,Río Bogotá,5.127454811990184,-73.90118667346393
141774.0,Seguimiento y Control,Sabana Centro,Cundinamarca,CAJICA,Canelón,,Carbón,Caldera,Río Bogotá,4.919869822773218,-74.06360501248838
141798.0,Seguimiento y Control,Sabana Occidente,Cundinamarca,MADRID,Puente Piedra,,ACPM,Planta de Asfalto,Río Bogotá,4.80476559651936,-74.21355643778917
141856.0,Seguimiento y Control,Sabana Centro,Cundinamarca,SOPO,Pueblo Viejo,,Gas,Caldera Horno,Río Bogotá,4.914466140453649,-73.93997679404697
142500.0,Seguimiento y Control,Ubate,Cundinamarca,TAUSA,Pajarito,,Carbón,Caldera Horno,Río Bogotá,5.146516959350765,-73.89997285814142
142884.0,Seguimiento y Control,Soacha,Cundinamarca,SOACHA,Fusunga,,Carbón,Horno,Río Bogotá,4.520138002374677,-74.19645293953957
144002.0,Seguimiento y Control,Ubate,Cundinamarca,SIMIJACA,Hato Chico,,Otros,Horno,Río Suárez,5.532379891649153,-73.83440456802114
144412.0,Seguimiento y Control,Ubate,Cundinamarca,GUACHETA,Rabanal,,Carbón,Horno,Río Suárez,5.33671022354105,-73.70490190272402
144412.0,Seguimiento y Control,Ubate,Cundinamarca,GUACHETA,Rabanal,,Carbón,Horno,Río Suárez,5.33671022354105,-73.70490190272402
144412.0,Seguimiento y Control,Ubate,Cundinamarca,GUACHETA,Peñas,,Carbón,Horno,Río Suárez,5.33671022354105,-73.70490190272402
145760.0,Seguimiento y Control,Soacha,Cundinamarca,SOACHA,Panamá,,Gas,Horno,Río Bogotá,4.562457250245541,-74.21062594373767
146234.0,Seguimiento y Control,Sabana Centro,Cundinamarca,COTA,Vuelta Grande,,Otros,TRITURADOR DE ESCOMBROS,Río Bogotá,4.756314499845698,-74.14058778462476
147752.0,Seguimiento y Control,Sabana Occidente,Cundinamarca,MADRID,Puente Piedra,,ACPM,Planta de Asfalto,Río Bogotá,4.818670893069072,-74.22727968673412
147870.0,Seguimiento y Control,Sabana Centro,Cundinamarca,TOCANCIPA,Tibitó,,Carbón,Caldera Horno,Río Machetá,4.9578196312945,-73.70782726554745
148522.0,Seguimiento y Control,Soacha,Cundinamarca,SIBATE,Chacua,,Gas,HORNO DE SECADO,(sin definir),11.876105874947447,-40.54120542623025
150306.0,Seguimiento y Control,Sabana Centro,Cundinamarca,NEMOCON,Patio Bonito,,(sin definir),(sin definir),Río Bogotá,5.125421030494849,-73.90439797153304
151254.0,Seguimiento y Control,Soacha,Cundinamarca,SIBATE,Chusaca,,Gas,CAMPANA DE EXTRACCIÓN  PLOMO 1,Río Bogotá,4.535888872799148,-74.25191919047849
151706.0,Seguimiento y Control,Sabana Occidente,Cundinamarca,FUNZA,El Cacique,,Carbón,Caldera,Río Bogotá,4.730851780541538,-74.1913322996901
152236.0,Seguimiento y Control,Sabana Centro,Cundinamarca,NEMOCON,Patio Bonito,,Carbón,Horno,Río Bogotá,5.132011888252765,-73.89917418037368
153454.0,Seguimiento y Control,Sabana Centro,Cundinamarca,TABIO,Rio Frío Oriental,,Carbón,Horno,Río Bogotá,4.957922845608089,-74.06308125331644
153534.0,Seguimiento y Control,Sabana Centro,Cundinamarca,COGUA,Rincón Santo,,Carbón,Horno,Río Bogotá,5.065794389946128,-73.95486125585315
153780.0,Seguimiento y Control,Sabana Centro,Cundinamarca,TOCANCIPA,Tibitó,,Gas,Horno,Río Bogotá,4.968520890391967,-73.96514953656599
154266.0,Seguimiento y Control,Sabana Centro,Cundinamarca,COGUA,Mortiño,,Carbón,Caldera,Río Bogotá,5.044340815540402,-73.93683866225531
154302.0,Seguimiento y Control,Sabana Occidente,Cundinamarca,MOSQUERA,Balsillas,,Otros,TRITURADORA,Río Bogotá,4.686963005306945,-74.2827445943305
154404.0,Seguimiento y Control,Ubate,Cundinamarca,TAUSA,Rasgatá,,Carbón,Chimenea 1,Río Suárez,5.188262627219513,-73.88146159849582
154642.0,Seguimiento y Control,Soacha,Cundinamarca,SOACHA,Fusunga,,Gas,Horno arcillas de Soacha tipo túnel,(sin definir),11.892809469097637,-40.50622069588541
155148.0,Seguimiento y Control,Sabana Centro,Cundinamarca,TOCANCIPA,Canavita,,Gas,Horno,Río Bogotá,4.94890310168157,-73.94601077555946
155298.0,Seguimiento y Control,Sabana Centro,Cundinamarca,COGUA,Neusa,,Carbón,Horno,Río Bogotá,5.06757508437556,-73.95086588094019
155300.0,Seguimiento y Control,Ubate,Cundinamarca,TAUSA,Rasgatá,,Coque,Horno,Río Suárez,5.187104937201386,-73.88082155045036
155300.0,Seguimiento y Control,Ubate,Cundinamarca,TAUSA,Rasgatá,,Coque,Horno,Río Suárez,5.187113982906728,-73.88083056744304
155530.0,Seguimiento y Control,Sabana Centro,Cundinamarca,COGUA,Neusa,,Carbón,Horno,Río Bogotá,5.077117471050673,-73.96184828721185
156070.0,Seguimiento y Control,Sabana Occidente,Cundinamarca,MOSQUERA,Balsillas,,Otros,Caldera,Río Bogotá,4.67388255865053,-74.26556225033188
161770.0,Seguimiento y Control,Ubate,Cundinamarca,TAUSA,Rasgatá,,Coque,Horno,Río Suárez,5.184166157402317,-73.88134560550077
164064.0,Seguimiento y Control,Sabana Centro,Cundinamarca,COGUA,Neusa,,Carbón,Horno,Río Bogotá,5.072758477228417,-73.96027087464054
164066.0,Seguimiento y Control,Sabana Centro,Cundinamarca,COGUA,Neusa,,Carbón,Horno,Río Bogotá,5.072757472919745,-73.95485994243853
164672.0,Seguimiento y Control,Sabana Centro,Cundinamarca,COGUA,Neusa,,Carbón,Horno,Río Bogotá,5.074149403244205,-73.9512974754703
166012.0,Seguimiento y Control,Sabana Centro,Cundinamarca,CAJICA,Chuntame Alto,,Otros,TRITURADOR DE MATERIAL,Río Bogotá,4.906383841408903,-74.01451335072929
166542.0,Seguimiento y Control,Soacha,Cundinamarca,SIBATE,La Unión,,Fuel Oil No.8,Horno,(sin definir),11.868159440984144,-40.55375774565463
167378.0,Seguimiento y Control,Bogotá y Municipio de la Calera,Distrito Capital,LOCALIDAD DE CIUDAD BOLIVAR,MOCHUELO BAJO,,Carbón,Horno,Río Bogotá,4.517287002502915,-74.14492788758095
167380.0,Seguimiento y Control,Bogotá y Municipio de la Calera,Distrito Capital,LOCALIDAD DE CIUDAD BOLIVAR,MOCHUELO BAJO,,Carbón,Horno,Río Bogotá,4.534975795179951,-74.13999140271514
167394.0,Seguimiento y Control,Bogotá y Municipio de la Calera,Distrito Capital,LOCALIDAD DE CIUDAD BOLIVAR,MOCHUELO BAJO,,Carbón,Horno,Río Bogotá,4.535310391458448,-74.13998242029001
167396.0,Seguimiento y Control,Bogotá y Municipio de la Calera,Distrito Capital,LOCALIDAD DE CIUDAD BOLIVAR,MOCHUELO BAJO,,Carbón,Horno,Río Bogotá,4.503459767494724,-74.14802632128853
167796.0,Seguimiento y Control,Bogotá y Municipio de la Calera,Distrito Capital,LOCALIDAD DE CIUDAD BOLIVAR,MOCHUELO BAJO,,Carbón,Horno,Río Bogotá,4.531032911512373,-74.14093723192799
168788.0,Seguimiento y Control,Bogotá y Municipio de la Calera,Distrito Capital,LOCALIDAD DE CIUDAD BOLIVAR,MOCHUELO BAJO,,Carbón,Horno,Río Bogotá,4.526221823595039,-74.14258583733415
169532.0,Seguimiento y Control,Bogotá y Municipio de la Calera,Distrito Capital,LOCALIDAD DE CIUDAD BOLIVAR,MOCHUELO BAJO,,Carbón,Horno,Río Bogotá,4.517658008181525,-74.14232375543543
169720.0,Seguimiento y Control,Bogotá y Municipio de la Calera,Distrito Capital,LOCALIDAD DE CIUDAD BOLIVAR,MOCHUELO BAJO,,Carbón,Horno,Río Bogotá,4.534406065242357,-74.14014454355686
169726.0,Seguimiento y Control,Bogotá y Municipio de la Calera,Distrito Capital,LOCALIDAD DE CIUDAD BOLIVAR,MOCHUELO BAJO,,Carbón,Horno,Río Bogotá,4.52597679631161,-74.15156082977826
169728.0,Seguimiento y Control,Bogotá y Municipio de la Calera,Distrito Capital,LOCALIDAD DE CIUDAD BOLIVAR,MOCHUELO BAJO,,Carbón,Horno,Río Bogotá,4.519628633139708,-74.15048787853901
169730.0,Seguimiento y Control,Bogotá y Municipio de la Calera,Distrito Capital,LOCALIDAD DE CIUDAD BOLIVAR,MOCHUELO BAJO,,Carbón,Horno,Río Bogotá,4.515343216106536,-74.13948510753538
169746.0,Seguimiento y Control,Bogotá y Municipio de la Calera,Distrito Capital,LOCALIDAD DE CIUDAD BOLIVAR,MOCHUELO BAJO,,Carbón,Horno,Río Bogotá,4.526681284128709,-74.15967086038007
170762.0,Seguimiento y Control,Sabana Centro,Cundinamarca,TOCANCIPA,Verganzo,,Carbón,Caldera,(sin definir),12.197747584705445,-40.23297231681016
170950.0,Seguimiento y Control,Bogotá y Municipio de la Calera,Distrito Capital,LOCALIDAD DE CIUDAD BOLIVAR,MOCHUELO BAJO,,Carbón,Horno,Río Bogotá,4.523607901815922,-74.14750562613166
171144.0,Seguimiento y Control,Bogotá y Municipio de la Calera,Distrito Capital,LOCALIDAD DE CIUDAD BOLIVAR,MOCHUELO BAJO,,ACPM,Horno,Río Bogotá,4.526293750993234,-74.14707335308687
171168.0,Seguimiento y Control,Bogotá y Municipio de la Calera,Distrito Capital,LOCALIDAD DE CIUDAD BOLIVAR,MOCHUELO BAJO,,Carbón,Horno,Río Bogotá,4.514311647899588,-74.1466937521958
171196.0,Seguimiento y Control,Bogotá y Municipio de la Calera,Distrito Capital,LOCALIDAD DE CIUDAD BOLIVAR,MOCHUELO BAJO,,(sin definir),(sin definir),Río Bogotá,4.506914034508921,-74.15013518661247
171200.0,Seguimiento y Control,Bogotá y Municipio de la Calera,Distrito Capital,LOCALIDAD DE CIUDAD BOLIVAR,MOCHUELO BAJO,,Carbón,Horno,Río Bogotá,4.530824762533079,-74.14270339321416
171204.0,Seguimiento y Control,Bogotá y Municipio de la Calera,Distrito Capital,LOCALIDAD DE CIUDAD BOLIVAR,MOCHUELO BAJO,,(sin definir),(sin definir),Río Bogotá,4.516029605486364,-74.14912686751758
171210.0,Seguimiento y Control,Bogotá y Municipio de la Calera,Distrito Capital,LOCALIDAD DE CIUDAD BOLIVAR,MOCHUELO BAJO,,Carbón,Horno,Río Bogotá,4.51665431313687,-74.14128740772773
171210.0,Seguimiento y Control,Bogotá y Municipio de la Calera,Distrito Capital,LOCALIDAD DE CIUDAD BOLIVAR,MOCHUELO BAJO,,Carbón,Horno,Río Bogotá,4.516283560010455,-74.14111616748636
171218.0,Seguimiento y Control,Bogotá y Municipio de la Calera,Distrito Capital,LOCALIDAD DE CIUDAD BOLIVAR,MOCHUELO BAJO,,Carbón,Horno,Río Bogotá,4.51597608343633,-74.14123328287343
171372.0,Seguimiento y Control,Bogotá y Municipio de la Calera,Distrito Capital,LOCALIDAD DE CIUDAD BOLIVAR,MOCHUELO ALTO,,Carbón,Horno,Río Bogotá,4.530960797220908,-74.13825191141156
171376.0,Seguimiento y Control,Bogotá y Municipio de la Calera,Distrito Capital,LOCALIDAD DE CIUDAD BOLIVAR,MOCHUELO BAJO,,Carbón,Horno,Río Bogotá,4.530282179260267,-74.14265828905526
171570.0,Seguimiento y Control,Sabana Centro,Cundinamarca,TOCANCIPA,Canavita,,Gas,Caldera,Río Bogotá,4.955374410959588,-73.92956321239852
172430.0,Seguimiento y Control,Sabana Centro,Cundinamarca,ZIPAQUIRA,Centro    ,,Otros,Horno,Río Bogotá,5.009788663543848,-73.9962884761451
172924.0,Seguimiento y Control,Bogotá y Municipio de la Calera,Distrito Capital,LOCALIDAD DE CIUDAD BOLIVAR,MOCHUELO BAJO,,ACPM,Caldera,Río Bogotá,4.526094739623085,-74.14772213040409
173286.0,Seguimiento y Control,Sabana Centro,Cundinamarca,COGUA,Rincón Santo,,Carbón,Horno,Río Bogotá,5.051780797728392,-73.97197091052757
173902.0,Seguimiento y Control,Sabana Centro,Cundinamarca,SOPO,Pueblo Viejo,,Carbón,Horno,Río Bogotá,4.922950696435342,-73.95118215031653
174480.0,Seguimiento y Control,Sabana Centro,Cundinamarca,COGUA,EL OLIVO,,Carbón,Horno,Río Bogotá,5.067159318971524,-73.95194813879871
174562.0,Seguimiento y Control,Bogotá y Municipio de la Calera,Distrito Capital,LOCALIDAD DE CIUDAD BOLIVAR,MOCHUELO BAJO,,Carbón,Horno,Río Bogotá,4.522333277103341,-74.14262153423219
174768.0,Seguimiento y Control,Sabana Occidente,Cundinamarca,FUNZA,La isla,,Gas,Horno,Río Bogotá,4.750422507990216,-74.18150134396804
174782.0,Seguimiento y Control,Bogotá y Municipio de la Calera,Distrito Capital,LOCALIDAD DE CIUDAD BOLIVAR,MOCHUELO BAJO,,Carbón,Horno,Río Bogotá,4.520469975307662,-74.14711785236653
174832.0,Seguimiento y Control,Sabana Centro,Cundinamarca,SOPO,La Carolina,,Gas,Horno,Río Bogotá,4.925290703351028,-73.94041636598074
175104.0,Seguimiento y Control,Sabana Centro,Cundinamarca,COGUA,Mortiño,,Gas,Horno,Río Bogotá,5.038589828443855,-73.93841800424288
175380.0,Seguimiento y Control,Bogotá y Municipio de la Calera,Distrito Capital,LOCALIDAD DE CIUDAD BOLIVAR,MOCHUELO BAJO,,Carbón,Horno,Río Bogotá,4.52988273894483,-74.15797713391493
176396.0,Seguimiento y Control,Ubate,Cundinamarca,LENGUAZAQUE,Ramada  Flores,,Carbón,Horno,Río Suárez,5.323226569497588,-73.71852365618248
178612.0,Seguimiento y Control,Soacha,Cundinamarca,SOACHA,Panamá,,Gas,HORNO TÚNEL 1 SOACHA 2,Río Bogotá,4.459956039015855,-74.10719670471978
181110.0,Seguimiento y Control,Bogotá y Municipio de la Calera,Distrito Capital,LOCALIDAD DE CIUDAD BOLIVAR,MOCHUELO BAJO,,Carbón,Horno,Río Bogotá,4.531258660037451,-74.1445867571135
183514.0,Seguimiento y Control,Sabana Occidente,Cundinamarca,MOSQUERA,Balsillas,,Otros,Trituradora,Río Bogotá,4.66799319038012,-74.27412284038506
183556.0,Seguimiento y Control,Sabana Centro,Cundinamarca,COGUA,Rincón Santo,,Carbón,Horno,Río Bogotá,5.062846259618801,-73.95421250947518
183556.0,Seguimiento y Control,Sabana Centro,Cundinamarca,COGUA,Rincón Santo,,Carbón,Horno,Río Bogotá,5.063108431682171,-73.95382468213964
183556.0,Seguimiento y Control,Sabana Centro,Cundinamarca,COGUA,Rincón Santo,,Carbón,Horno,Río Bogotá,5.063470229451343,-73.95423944557243
183556.0,Seguimiento y Control,Sabana Centro,Cundinamarca,COGUA,Rincón Santo,,Carbón,Horno,Río Bogotá,5.063859128461356,-73.95450991481249
183556.0,Seguimiento y Control,Sabana Centro,Cundinamarca,COGUA,Rincón Santo,,Carbón,Horno,Río Bogotá,5.063298514179143,-73.95477154530808
183556.0,Seguimiento y Control,Sabana Centro,Cundinamarca,COGUA,Rincón Santo,,Carbón,Horno,Río Bogotá,5.062294659255415,-73.95432083082554
183560.0,Seguimiento y Control,Sabana Centro,Cundinamarca,TOCANCIPA,Tibitó,,Carbón,Caldera,Río Bogotá,4.986453623175652,-73.96796882637689
183976.0,Seguimiento y Control,Sabana Centro,Cundinamarca,NEMOCON,Patio Bonito,,Carbón,Horno,Río Bogotá,5.141135929250273,-73.8982156143763
185276.0,Seguimiento y Control,Sabana Centro,Cundinamarca,CAJICA,Canelón,,Carbón,Caldera,Río Bogotá,4.921062492435692,-74.03828759452762
185684.0,Seguimiento y Control,Ubate,Cundinamarca,SUTATAUSA,Peñas de Boquerón,,Carbón,Chimenea Triunfo central,Río Suárez,5.20757802997226,-73.85366477007742
187436.0,Seguimiento y Control,Soacha,Cundinamarca,SOACHA,AREA URBANA,,Carbón,Horno,(sin definir),11.893424590252797,-40.52496757610384
188060.0,Seguimiento y Control,Sabana Centro,Cundinamarca,CAJICA,Chuntame Alto,,Carbón,Caldera,Río Bogotá,4.972477821182302,-74.00104494634783
188280.0,Seguimiento y Control,Sabana Centro,Cundinamarca,COGUA,EL OLIVO,,Carbón,Horno,Río Bogotá,5.07090404704611,-73.95688938595272
188764.0,Seguimiento y Control,Ubate,Cundinamarca,TAUSA,Rasgatá,,Carbón,Chimenea 1,Río Suárez,5.189093129940887,-73.87686123390627
190770.0,Seguimiento y Control,Soacha,Cundinamarca,SIBATE,Chusaca,,Carbón,700 BHP VR2,(sin definir),11.877707620662056,-40.54427535733022
190772.0,Seguimiento y Control,Soacha,Cundinamarca,SIBATE,Chusaca,,Carbón,Caldera,(sin definir),11.877682665770413,-40.544317740285784
197696.0,Seguimiento y Control,Sabana Occidente,Cundinamarca,MOSQUERA,San José,,Otros,molino,Río Bogotá,4.697863547136177,-74.18591900240203
199550.0,Seguimiento y Control,Soacha,Cundinamarca,SOACHA,Cazuca,,Carbón,Caldera,Río Bogotá,4.59059363178149,-74.19144491479723
199976.0,Seguimiento y Control,Sabana Centro,Cundinamarca,COGUA,EL OLIVO,,Carbón,Horno,Río Bogotá,5.069357018781721,-73.9532914220978
203658.0,Seguimiento y Control,Sabana Centro,Cundinamarca,CAJICA,Chuntame Bajo,,Fuel Oil No.8,PLANTA DE MEZCLA ASFÁLTICA,Río Bogotá,4.950794121243961,-74.01465343303985
205016.0,Seguimiento y Control,Sabana Centro,Cundinamarca,COGUA,Casa Blanca,,Carbón,Batería de coquización A,Río Bogotá,5.130911002130798,-73.90780567938849
205316.0,Seguimiento y Control,Sabana Centro,Cundinamarca,ZIPAQUIRA,Centro    ,,Gas,Horno,Río Bogotá,5.029057177522787,-73.98090202384775
205998.0,Seguimiento y Control,Ubate,Cundinamarca,GUACHETA,Rabanal,,Carbón,Horno,Río Suárez,5.334212517575045,-73.70175481069927
206954.0,Seguimiento y Control,Sabana Centro,Cundinamarca,TOCANCIPA,Canavita,,Otros,Horno,Río Bogotá,4.948160070683243,-73.93863541906872
206956.0,Seguimiento y Control,Sabana Centro,Cundinamarca,COGUA,Mortiño,,Carbón,Horno,Río Bogotá,5.060730225984948,-73.95432112675945
208554.0,Seguimiento y Control,Sabana Centro,Cundinamarca,COTA,Vuelta Grande,,Otros,Horno,Río Bogotá,4.741710643609742,-74.13242897551558
209714.0,Seguimiento y Control,Ubate,Cundinamarca,GUACHETA,Frontera,,Coque,Horno,Río Suárez,5.373902748081655,-73.69011881548678
210888.0,Seguimiento y Control,Ubate,Cundinamarca,SUTATAUSA,Peñas de Cajón,,Carbón,Horno,Río Suárez,5.214274490915157,-73.84186403026766
211090.0,Seguimiento y Control,Soacha,Cundinamarca,SOACHA,AREA URBANA,,Gas,Horno,Río Bogotá,4.545286581264353,-74.2436941623454
211788.0,Seguimiento y Control,Bogotá y Municipio de la Calera,Distrito Capital,LOCALIDAD DE CIUDAD BOLIVAR,MOCHUELO BAJO,,Carbón,Horno,Río Bogotá,4.515170499729747,-74.1492168925191
214656.0,Seguimiento y Control,Alto Magdalena,Cundinamarca,GIRARDOT,CENTRO,,Otros,Horno,Río Bogotá,4.327055786248329,-74.80120845771593
214656.0,Seguimiento y Control,Alto Magdalena,Cundinamarca,GIRARDOT,URBANO,,Otros,Horno,Río Bogotá,4.326766634580483,-74.80099199260722
215160.0,Seguimiento y Control,Ubate,Cundinamarca,LENGUAZAQUE,Ramada  Flores,,Carbón,Horno,Río Suárez,5.325691944704173,-73.71291977431318
215160.0,Seguimiento y Control,Ubate,Cundinamarca,LENGUAZAQUE,Ramada  Flores,,Carbón,Horno,Río Suárez,5.324652169741913,-73.71315494967774
215548.0,Seguimiento y Control,Bogotá y Municipio de la Calera,Distrito Capital,LOCALIDAD DE CIUDAD BOLIVAR,MOCHUELO BAJO,,Carbón,Horno,Río Bogotá,4.532045540756562,-74.14318109269777
218040.0,Seguimiento y Control,Ubate,Cundinamarca,GUACHETA,Peñas,,Carbón,Horno,Río Suárez,5.375688989508088,-73.68354038302505
